time_period,region_name,characteristic_type,characteristic_value,number_of_students_alev,number_of_students_potential,pc_achieving_3_astar_to_a_alev,pc_achieving_atleast_two_alev,aps_per_entry_grade_alev,pc_achieving_alev
2019 to 20,South West,Sex,Female,12492,26649,20.016,84.982,B,46.876
2019 to 20,South East,Sex,Female,23423,45630,21.069,86.449,B,51.332
2019 to 20,West Midlands,Sex,Female,14017,31957,18.07,84.398,B-,43.862
2019 to 20,London,Sex,Female,23195,41479,21.85,88.562,B,55.92
2019 to 20,North West,Sex,Female,16790,38168,19.192,86.278,B,43.99
2019 to 20,Yorkshire and The Humber,Sex,Female,12093,28830,17.871,82.833,B,41.946
2019 to 20,East of England,Sex,Female,15284,32268,20.724,86.856,B,47.366
2019 to 20,East Midlands,Sex,Female,10228,20914,18.623,87.378,B-,48.905
2019 to 20,North East,Sex,Female,5540,14997,18.782,79.675,B,36.941
2020 to 21,North East,Sex,Female,5120,11495,22.808,84.727,B,44.541
2020 to 21,West Midlands,Sex,Female,13727,25893,23.85,86.88,B,53.014
2020 to 21,South East,Sex,Female,24045,39582,27.664,87.407,B+,60.747
2020 to 21,North West,Sex,Female,16974,31513,24.555,87.557,B,53.863
2020 to 21,Yorkshire and The Humber,Sex,Female,11831,22549,24.899,85.208,B,52.468
2020 to 21,South West,Sex,Female,11947,21531,26.668,89.311,B,55.487
2020 to 21,East of England,Sex,Female,15146,26925,26.978,89.298,B+,56.253
2020 to 21,East Midlands,Sex,Female,10270,17718,25.528,89.396,B,57.964
2020 to 21,London,Sex,Female,23530,36457,27.767,90.82,B+,64.542
2021 to 22,Yorkshire and The Humber,Sex,Female,12370,27682,18.773,83.5,B-,44.686
2021 to 22,London,Sex,Female,24758,41756,20.897,90.581,B,59.292
2021 to 22,East Midlands,Sex,Female,10639,20406,16.586,90.14,B-,52.137
2021 to 22,North East,Sex,Female,5484,14299,17.639,85.12,B-,38.352
2021 to 22,West Midlands,Sex,Female,14386,31113,18.216,86.376,B-,46.238
2021 to 22,North West,Sex,Female,17893,37846,21.087,87.336,B,47.278
2021 to 22,South West,Sex,Female,12268,25922,19.86,90.007,B,47.327
2021 to 22,South East,Sex,Female,24924,45338,22.275,86.928,B,54.974
2021 to 22,East of England,Sex,Female,16325,32071,21.064,88.3,B,50.903
2022 to 23,Yorkshire and The Humber,Sex,Female,12888,28091,12.118,82.876,C+,45.879
2022 to 23,South East,Sex,Female,25387,45784,14.695,85.705,B-,55.45
2022 to 23,London,Sex,Female,25335,41806,13.92,89.734,B-,60.601
2022 to 23,North West,Sex,Female,18143,37905,13.102,86.48,B-,47.864
2022 to 23,East Midlands,Sex,Female,10862,20526,10.367,87.82,C+,52.918
2022 to 23,South West,Sex,Female,12201,25465,11.926,88.116,C+,47.913
2022 to 23,North East,Sex,Female,5450,14197,10.121,83.835,C+,38.388
2022 to 23,West Midlands,Sex,Female,14610,30902,11.667,84.832,C+,47.278
2022 to 23,East of England,Sex,Female,16043,31548,13.4,87.259,C+,50.853
2023 to 24,North East,Sex,Female,5562,14613,11.26,81.32,C+,38.062
2023 to 24,West Midlands,Sex,Female,15170,32360,13.138,82.96,C+,46.879
2023 to 24,East Midlands,Sex,Female,11229,21185,10.537,87.016,C+,53.004
2023 to 24,South West,Sex,Female,12513,26314,12.311,86.422,C+,47.553
2023 to 24,South East,Sex,Female,25968,46917,15.049,85.182,B-,55.349
2023 to 24,East of England,Sex,Female,16699,33046,14.15,86.335,C+,50.533
2023 to 24,London,Sex,Female,25802,43011,15.492,89.187,B-,59.989
2023 to 24,North West,Sex,Female,18237,39359,14.107,85.76,B-,46.335
2023 to 24,Yorkshire and The Humber,Sex,Female,13001,28765,13.153,81.617,C+,45.197
2019 to 20,South West,Sex,Male,9652,26901,19.713,83.62,B-,35.88
2019 to 20,South East,Sex,Male,19257,47428,20.548,84.598,B,40.603
2019 to 20,West Midlands,Sex,Male,10344,32076,18.996,82.676,B-,32.248
2019 to 20,London,Sex,Male,18384,43161,21.376,85.857,B-,42.594
2019 to 20,North West,Sex,Male,12965,39008,17.475,85.206,B-,33.237
2019 to 20,Yorkshire and The Humber,Sex,Male,8976,28970,18.592,82.364,B-,30.984
2019 to 20,East of England,Sex,Male,12577,34019,20.846,85.41,B-,36.971
2019 to 20,East Midlands,Sex,Male,7868,21087,18.89,87.227,B-,37.312
2019 to 20,North East,Sex,Male,4060,15347,18.603,80.345,B-,26.455
2020 to 21,North East,Sex,Male,3845,11159,22.253,84.889,B,34.456
2020 to 21,West Midlands,Sex,Male,10610,24810,22.073,87.201,B-,42.765
2020 to 21,South East,Sex,Male,19911,38191,24.616,86.364,B,52.135
2020 to 21,North West,Sex,Male,12656,28862,21.782,86.623,B,43.85
2020 to 21,Yorkshire and The Humber,Sex,Male,8836,20800,21.745,85.186,B,42.481
2020 to 21,South West,Sex,Male,9652,20729,24.921,87.857,B,46.563
2020 to 21,East of England,Sex,Male,12502,25730,25.749,87.97,B,48.589
2020 to 21,East Midlands,Sex,Male,7785,16424,22.482,89.043,B,47.4
2020 to 21,London,Sex,Male,18457,35591,27.153,88.736,B,51.859
2021 to 22,Yorkshire and The Humber,Sex,Male,9437,27396,19.175,84.275,B-,34.447
2021 to 22,London,Sex,Male,19851,42872,22.68,89.24,B-,46.303
2021 to 22,East Midlands,Sex,Male,8479,20554,17.608,88.454,B-,41.252
2021 to 22,North East,Sex,Male,4064,14243,18.111,84.055,B-,28.533
