time_period,region_name,rurality_name,number_of_students_alev,number_of_students_potential,pc_achieving_3_astar_to_a_alev,pc_achieving_atleast_two_alev,aps_per_entry_grade_alev,pc_achieving_alev
2019 to 20,North East,Urban - Major conurbation,4388,16513,17.538,81.472,B-,26.573
2019 to 20,West Midlands,Urban - Major conurbation,12073,33043,16.95,82.117,B-,36.537
2019 to 20,East of England,Urban - Major conurbation,2947,6759,22.976,88.497,B,43.601
2019 to 20,East Midlands,Urban - Major conurbation,47,75,14.286,65.957,B-,62.667
2019 to 20,South West,Urban - Major conurbation,0,0,,,,
2019 to 20,South East,Urban - Major conurbation,3801,8124,19.955,86.03,B,46.787
2019 to 20,London,Urban - Major conurbation,41481,84081,21.652,87.382,B,49.335
2019 to 20,North West,Urban - Major conurbation,17224,44446,18.177,85.735,B,38.753
2019 to 20,Yorkshire and The Humber,Urban - Major conurbation,7871,21785,17.298,82.632,B-,36.13
2020 to 21,South East,Urban - Major conurbation,4127,7885,23.601,87.352,B,52.34
2020 to 21,East of England,Urban - Major conurbation,2959,5488,27.667,90.132,B,53.918
2020 to 21,East Midlands,Urban - Major conurbation,54,69,25.0,75.926,B,78.261
2020 to 21,South West,Urban - Major conurbation,0,0,,,,
2020 to 21,North East,Urban - Major conurbation,3995,12177,21.662,87.359,B,32.808
2020 to 21,London,Urban - Major conurbation,41875,71632,27.491,89.922,B,58.459
2020 to 21,North West,Urban - Major conurbation,16836,33726,22.087,86.505,B,49.92
2020 to 21,Yorkshire and The Humber,Urban - Major conurbation,7811,16365,22.55,84.355,B,47.73
2020 to 21,West Midlands,Urban - Major conurbation,11990,25864,22.531,86.606,B,46.358
2021 to 22,South East,Urban - Major conurbation,4299,9282,20.404,87.346,B,46.315
2021 to 22,North West,Urban - Major conurbation,18507,43440,20.719,85.4,B-,42.604
2021 to 22,Yorkshire and The Humber,Urban - Major conurbation,8408,21503,17.913,82.647,B-,39.102
2021 to 22,North East,Urban - Major conurbation,4264,15284,16.949,86.89,B-,27.898
2021 to 22,West Midlands,Urban - Major conurbation,12499,31737,17.927,85.687,B-,39.383
2021 to 22,East of England,Urban - Major conurbation,3062,6836,21.781,90.235,B,44.792
2021 to 22,East Midlands,Urban - Major conurbation,23,38,0.0,47.826,C,60.526
2021 to 22,South West,Urban - Major conurbation,0,0,,,,
2021 to 22,London,Urban - Major conurbation,44474,84060,21.7,90.01,B,52.907
2022 to 23,West Midlands,Urban - Major conurbation,13054,32276,12.205,83.323,C+,40.445
2022 to 23,East Midlands,Urban - Major conurbation,61,68,16.667,50.82,C-,89.706
2022 to 23,South West,Urban - Major conurbation,0,0,,,,
2022 to 23,South East,Urban - Major conurbation,4394,9559,12.946,85.844,B-,45.967
2022 to 23,East of England,Urban - Major conurbation,3108,6537,13.742,88.16,C+,47.545
2022 to 23,North West,Urban - Major conurbation,18866,43634,13.578,84.427,C+,43.237
2022 to 23,Yorkshire and The Humber,Urban - Major conurbation,8826,22092,10.794,81.747,C+,39.951
2022 to 23,North East,Urban - Major conurbation,4288,15108,10.243,85.075,C+,28.382
2022 to 23,London,Urban - Major conurbation,46031,84718,15.14,88.808,C+,54.334
2023 to 24,East Midlands,Urban - Major conurbation,31,45,0.0,64.516,C,68.889
2023 to 24,South West,Urban - Major conurbation,0,0,,,,
2023 to 24,South East,Urban - Major conurbation,4295,9413,15.195,86.24,B-,45.628
2023 to 24,London,Urban - Major conurbation,47392,87284,16.173,88.593,B-,54.296
2023 to 24,North West,Urban - Major conurbation,19422,45710,14.532,84.811,C+,42.49
2023 to 24,Yorkshire and The Humber,Urban - Major conurbation,9024,23072,12.957,81.56,C+,39.112
2023 to 24,North East,Urban - Major conurbation,4540,15698,11.33,84.119,C+,28.921
2023 to 24,West Midlands,Urban - Major conurbation,13683,33471,13.852,81.517,C+,40.88
2023 to 24,East of England,Urban - Major conurbation,3360,7132,14.275,89.613,B-,47.112
2019 to 20,North East,Urban - Minor conurbation,0,0,,,,
2019 to 20,West Midlands,Urban - Minor conurbation,0,0,,,,
2019 to 20,East of England,Urban - Minor conurbation,0,0,,,,
2019 to 20,East Midlands,Urban - Minor conurbation,3534,7226,20.363,86.389,B-,48.907
2019 to 20,South West,Urban - Minor conurbation,0,0,,,,
2019 to 20,South East,Urban - Minor conurbation,0,0,,,,
2019 to 20,London,Urban - Minor conurbation,0,0,,,,
2019 to 20,North West,Urban - Minor conurbation,0,0,,,,
2019 to 20,Yorkshire and The Humber,Urban - Minor conurbation,3598,12514,19.075,86.381,B-,28.752
2020 to 21,South East,Urban - Minor conurbation,0,0,,,,
2020 to 21,East of England,Urban - Minor conurbation,0,0,,,,
2020 to 21,East Midlands,Urban - Minor conurbation,3490,5910,24.908,89.169,B,59.052
2020 to 21,South West,Urban - Minor conurbation,0,0,,,,
2020 to 21,North East,Urban - Minor conurbation,0,0,,,,
2020 to 21,London,Urban - Minor conurbation,0,0,,,,
2020 to 21,North West,Urban - Minor conurbation,0,0,,,,
2020 to 21,Yorkshire and The Humber,Urban - Minor conurbation,3660,8657,23.747,87.268,B,42.278
2020 to 21,West Midlands,Urban - Minor conurbation,0,0,,,,
2021 to 22,South East,Urban - Minor conurbation,0,0,,,,
2021 to 22,North West,Urban - Minor conurbation,0,0,,,,
2021 to 22,Yorkshire and The Humber,Urban - Minor conurbation,3826,13487,17.963,85.546,B-,28.368
2021 to 22,North East,Urban - Minor conurbation,0,0,,,,
2021 to 22,West Midlands,Urban - Minor conurbation,0,0,,,,
2021 to 22,East of England,Urban - Minor conurbation,0,0,,,,
2021 to 22,East Midlands,Urban - Minor conurbation,3674,7222,19.539,90.093,B-,50.872
2021 to 22,South West,Urban - Minor conurbation,0,0,,,,
2021 to 22,London,Urban - Minor conurbation,0,0,,,,
2022 to 23,West Midlands,Urban - Minor conurbation,0,0,,,,
2022 to 23,East Midlands,Urban - Minor conurbation,3788,7376,10.955,87.249,C+,51.356
2022 to 23,South West,Urban - Minor conurbation,0,0,,,,
2022 to 23,South East,Urban - Minor conurbation,0,0,,,,
2022 to 23,East of England,Urban - Minor conurbation,0,0,,,,
2022 to 23,North West,Urban - Minor conurbation,0,0,,,,
2022 to 23,Yorkshire and The Humber,Urban - Minor conurbation,4003,13639,13.096,82.838,C+,29.35
2022 to 23,North East,Urban - Minor conurbation,0,0,,,,
2022 to 23,London,Urban - Minor conurbation,0,0,,,,
2023 to 24,East Midlands,Urban - Minor conurbation,3943,7536,12.77,86.102,C+,52.322
2023 to 24,South West,Urban - Minor conurbation,0,0,,,,
2023 to 24,South East,Urban - Minor conurbation,0,0,,,,
2023 to 24,London,Urban - Minor conurbation,0,0,,,,
2023 to 24,North West,Urban - Minor conurbation,0,0,,,,
2023 to 24,Yorkshire and The Humber,Urban - Minor conurbation,4094,14015,13.301,82.56,C+,29.212
2023 to 24,North East,Urban - Minor conurbation,0,0,,,,
2023 to 24,West Midlands,Urban - Minor conurbation,0,0,,,,
2023 to 24,East of England,Urban - Minor conurbation,0,0,,,,
2019 to 20,North East,Urban - City and town,4879,14268,19.519,78.582,B,34.195
2019 to 20,West Midlands,Urban - City and town,10622,28435,19.821,84.871,B-,37.355
2019 to 20,East of England,Urban - City and town,22237,56985,20.716,85.52,B,39.023
2019 to 20,East Midlands,Urban - City and town,11669,31458,17.837,87.197,B-,37.094
2019 to 20,South West,Urban - City and town,18095,47432,19.83,83.426,B-,38.149
2019 to 20,South East,Urban - City and town,35128,77309,21.142,85.487,B,45.438
2019 to 20,London,Urban - City and town,0,11,,,,0.0
2019 to 20,North West,Urban - City and town,11031,29217,18.894,85.985,B,37.755
2019 to 20,Yorkshire and The Humber,Urban - City and town,7874,20330,18.49,80.061,B,38.731
2020 to 21,South East,Urban - City and town,35921,63507,26.875,86.729,B,56.562
2020 to 21,East of England,Urban - City and town,22047,44399,26.452,88.393,B,49.657
2020 to 21,East Midlands,Urban - City and town,11569,25011,23.287,89.126,B,46.256
2020 to 21,South West,Urban - City and town,17423,36429,26.08,88.504,B,47.827
2020 to 21,North East,Urban - City and town,4658,10449,23.427,82.546,B,44.578
2020 to 21,London,Urban - City and town,0,0,,,,
2020 to 21,North West,Urban - City and town,11277,23959,24.406,88.304,B,47.068
2020 to 21,Yorkshire and The Humber,Urban - City and town,7469,15205,24.665,84.563,B,49.122
2020 to 21,West Midlands,Urban - City and town,10681,22560,23.317,87.108,B,47.345
2021 to 22,South East,Urban - City and town,37730,75421,22.929,86.361,B,50.026
2021 to 22,North West,Urban - City and town,11398,27765,21.193,89.735,B,41.052
2021 to 22,Yorkshire and The Humber,Urban - City and town,7713,16291,20.689,83.936,B-,47.345
2021 to 22,North East,Urban - City and town,4946,13062,18.912,83.037,B-,37.866
2021 to 22,West Midlands,Urban - City and town,11182,27377,18.867,86.201,B-,40.845
2021 to 22,East of England,Urban - City and town,23818,55356,21.226,87.228,B-,43.027
2021 to 22,East Midlands,Urban - City and town,12322,30297,15.834,88.995,B-,40.671
2021 to 22,South West,Urban - City and town,17767,45559,19.777,89.565,B-,38.998
2021 to 22,London,Urban - City and town,24,33,12.5,100.0,B-,72.727
2022 to 23,West Midlands,Urban - City and town,11188,27274,12.112,84.519,C+,41.021
2022 to 23,East Midlands,Urban - City and town,12913,30102,10.665,87.4,C+,42.897
2022 to 23,South West,Urban - City and town,17947,45385,12.897,87.797,C+,39.544
2022 to 23,South East,Urban - City and town,38818,76322,16.118,85.058,B-,50.861
2022 to 23,East of England,Urban - City and town,23935,55513,14.372,86.447,C+,43.116
2022 to 23,North West,Urban - City and town,11944,28627,13.254,87.81,C+,41.723
2022 to 23,Yorkshire and The Humber,Urban - City and town,7836,16875,14.042,82.67,C+,46.436
