time_period,region_name,qualification,subject_area,subject_name,entry_count,perc_astar_grade_achieved,perc_astar_a_grade_achieved,perc_astar_b_grade_achieved,perc_astar_c_grade_achieved,perc_astar_d_grade_achieved,perc_astar_e_grade_achieved
2019 to 20,East of England,A level,Art & Design,Critical Studies,21.0,4.7619,19.04762,61.90476,90.47619,90.47619,100.0
2019 to 20,East of England,A level,Modern languages - other,Welsh,0.0,,,,,,
2019 to 20,East of England,A level,Modern languages - other,Arabic,11.0,27.27273,72.72727,90.90909,100.0,100.0,100.0
2019 to 20,East of England,A level,Religious Studies,Total Religious Studies,1365.0,9.81685,34.50549,62.41758,87.54579,97.14286,99.56044
2019 to 20,East of England,A level,Design and technology,D&T Food Technology,0.0,,,,,,
2019 to 20,East of England,A level,Humanities,Total Humanities,0.0,,,,,,
2019 to 20,East of England,A level,Modern languages - other,Polish,63.0,17.46032,60.31746,77.77778,85.71429,87.30159,87.30159
2019 to 20,East of England,A level,Science - other,Environmental Science,121.0,8.26446,22.31405,42.14876,71.90083,90.90909,98.34711
2019 to 20,East of England,A level,Modern languages - other,Modern Greek,4.0,50.0,100.0,100.0,100.0,100.0,100.0
2019 to 20,East of England,A level,Accounting and Finance,Total Accounting and finance,224.0,4.46429,16.07143,38.39286,64.73214,84.82143,97.76786
2019 to 20,East of England,A level,Archaeology,Total Archaeology,0.0,,,,,,
2019 to 20,East of England,A level,Arts,Expressive Arts & Performance Studies,0.0,,,,,,
2019 to 20,East of England,A level,Modern languages - other,Russian,37.0,45.94595,78.37838,94.59459,97.2973,97.2973,100.0
2019 to 20,East of England,A level,Classical studies,Latin,49.0,44.89796,81.63265,97.95918,100.0,100.0,100.0
2019 to 20,East of England,A level,Design and technology,D&T Product Design,1040.0,8.55769,25.48077,54.61538,83.75,95.76923,99.51923
2019 to 20,East of England,A level,Maths,Additional Mathematics,0.0,,,,,,
2019 to 20,East of England,A level,Science - other,Science in Society,0.0,,,,,,
2019 to 20,East of England,A level,Modern languages - other,Turkish,13.0,15.38462,46.15385,69.23077,92.30769,92.30769,92.30769
