time_period,region_name,characteristic_sex,sub_name_comb,num_maths_science,num_entered_comb_and_no_other_matsci,perc_entered_comb_and_no_other_matsci
2019 to 20,East of England,All,Further Maths & Chemistry,2,0,0.0
2019 to 20,West Midlands,All,Further Maths & Chemistry,2,0,0.0
2019 to 20,East Midlands,All,Further Maths & Chemistry,2,0,0.0
2019 to 20,South West,All,Further Maths & Chemistry,2,0,0.0
2019 to 20,South East,All,Further Maths & Chemistry,2,3,0.007
2019 to 20,North West,All,Further Maths & Chemistry,2,0,0.0
2019 to 20,North East,All,Further Maths & Chemistry,2,0,0.0
2019 to 20,London,All,Further Maths & Chemistry,2,1,0.002
2019 to 20,Yorkshire and The Humber,All,Further Maths & Chemistry,2,0,0.0
2019 to 20,East of England,Female,Maths & Biology & Chemistry & Physics,4,24,0.163
2019 to 20,West Midlands,Female,Maths & Biology & Chemistry & Physics,4,16,0.12
2019 to 20,East Midlands,Female,Maths & Biology & Chemistry & Physics,4,18,0.183
2019 to 20,South West,Female,Maths & Biology & Chemistry & Physics,4,17,0.146
2019 to 20,South East,Female,Maths & Biology & Chemistry & Physics,4,49,0.215
2019 to 20,North West,Female,Maths & Biology & Chemistry & Physics,4,18,0.111
2019 to 20,North East,Female,Maths & Biology & Chemistry & Physics,4,3,0.058
2019 to 20,London,Female,Maths & Biology & Chemistry & Physics,4,40,0.178
2019 to 20,Yorkshire and The Humber,Female,Maths & Biology & Chemistry & Physics,4,17,0.146
2019 to 20,East of England,All,Maths & Biology & Chemistry & Computer Science,4,5,0.019
2019 to 20,West Midlands,All,Maths & Biology & Chemistry & Computer Science,4,5,0.022
2019 to 20,East Midlands,All,Maths & Biology & Chemistry & Computer Science,4,1,0.006
2019 to 20,South West,All,Maths & Biology & Chemistry & Computer Science,4,3,0.015
2019 to 20,South East,All,Maths & Biology & Chemistry & Computer Science,4,4,0.01
2019 to 20,North West,All,Maths & Biology & Chemistry & Computer Science,4,4,0.014
2019 to 20,North East,All,Maths & Biology & Chemistry & Computer Science,4,1,0.011
2019 to 20,London,All,Maths & Biology & Chemistry & Computer Science,4,4,0.01
2019 to 20,Yorkshire and The Humber,All,Maths & Biology & Chemistry & Computer Science,4,0,0.0
2019 to 20,East of England,All,Chemistry & Physics & Computer Science,3,6,0.022
2019 to 20,West Midlands,All,Chemistry & Physics & Computer Science,3,12,0.052
2019 to 20,East Midlands,All,Chemistry & Physics & Computer Science,3,3,0.017
2019 to 20,South West,All,Chemistry & Physics & Computer Science,3,7,0.034
2019 to 20,South East,All,Chemistry & Physics & Computer Science,3,7,0.017
2019 to 20,North West,All,Chemistry & Physics & Computer Science,3,9,0.031
2019 to 20,North East,All,Chemistry & Physics & Computer Science,3,3,0.033
2019 to 20,London,All,Chemistry & Physics & Computer Science,3,4,0.01
2019 to 20,Yorkshire and The Humber,All,Chemistry & Physics & Computer Science,3,3,0.015
2019 to 20,East of England,Female,Maths & Biology & Physics & Computer Science,4,0,0.0
2019 to 20,West Midlands,Female,Maths & Biology & Physics & Computer Science,4,0,0.0
2019 to 20,East Midlands,Female,Maths & Biology & Physics & Computer Science,4,0,0.0
2019 to 20,South West,Female,Maths & Biology & Physics & Computer Science,4,0,0.0
2019 to 20,South East,Female,Maths & Biology & Physics & Computer Science,4,0,0.0
